0,0
1,30
2,65
3,99
4,132
5,161
6,191
7,224
8,251
9,283
10,306
11,328
12,360
13,385
14,431
15,461
16,491
17,522
18,560
19,593
20,633
21,672
22,702
23,736
24,761
25,792
26,814
27,836
28,872
29,902
30,933
31,960
32,992
33,1018
34,1043
35,1064
36,1096
37,1135
38,1169
39,1199
40,1228
41,1259
42,1288
43,1318
44,1347
45,1371
46,1399
47,1424
48,1455
49,1486
50,1513
51,1544
52,1568
53,1592
54,1627
55,1658
56,1691
57,1726
58,1769
59,1806
60,1836
61,1863
62,1903
63,1937
64,1969
65,2008
66,2044
67,2074
68,2097
69,2126
70,2158
71,2198
72,2224
73,2252
74,2283
75,2312
76,2337
77,2366
78,2394
79,2421
80,2448
81,2472
82,2508
83,2541
84,2579
85,2602
86,2628
87,2656
88,2689
89,2714
90,2737
91,2766
92,2798
93,2831
94,2863
95,2895
96,2928
97,2958
98,2975
99,3008
100,3030
101,3055
102,3097
103,3129
104,3162
105,3191
106,3223
107,3245
108,3274
109,3302
110,3331
111,3369
112,3399
113,3425
114,3462
115,3488
116,3522
117,3558
118,3580
119,3605
120,3639
121,3660
122,3696
123,3722
124,3749
125,3779
126,3820
127,3844
128,3873
129,3906
130,3934
131,3966
132,3992
133,4025
134,4057
135,4085
136,4113
137,4143
138,4173
139,4202
140,4225
141,4251
142,4284
143,4315
144,4332
145,4356
146,4384
147,4415
148,4441
149,4469
150,4503
151,4532
152,4568
153,4593
154,4616
155,4651
156,4692
157,4721
158,4750
159,4772
160,4807
161,4843
162,4874
163,4909
164,4947
165,4981
166,5016
167,5038
168,5062
169,5095
170,5132
171,5167
172,5191
173,5227
174,5253
175,5275
176,5299
177,5325
178,5348
179,5370
180,5397
181,5435
182,5464
183,5496
184,5526
185,5554
186,5574
187,5603
188,5629
189,5664
190,5698
191,5737
192,5772
193,5808
194,5831
195,5866
196,5893
197,5915
198,5940
199,5958
200,5987
201,6023
202,6059
203,6096
204,6120
205,6155
206,6179
207,6210
208,6243
209,6274
210,6307
211,6326
212,6351
213,6382
214,6406
215,6442
216,6477
217,6500
218,6531
219,6557
220,6590
221,6615
222,6645
223,6674
224,6711
225,6741
226,6772
227,6805
228,6834
229,6860
230,6884
231,6903
232,6933
233,6969
234,7000
235,7032
236,7068
237,7100
238,7128
239,7169
240,7209
241,7240
242,7276
243,7303
244,7332
245,7371
246,7411
247,7448
248,7476
249,7505
250,7536
251,7565
252,7588
253,7620
254,7656
255,7688
256,7717
257,7761
258,7801
259,7834
260,7869
261,7899
262,7930
263,7961
264,7986
265,8018
266,8055
267,8087
268,8117
269,8146
270,8183
271,8215
272,8244
273,8275
274,8306
275,8337
276,8373
277,8407
278,8443
279,8466
280,8491
281,8528
282,8557
283,8574
284,8605
285,8627
286,8656
287,8688
288,8725
289,8753
290,8781
291,8810
292,8843
293,8884
294,8913
295,8937
296,8971
297,8995
298,9018
299,9044
300,9070
301,9108
302,9135
303,9176
304,9212
305,9242
306,9268
307,9302
308,9342
309,9374
310,9411
311,9443
312,9480
313,9516
