label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
nominal,0.404611639237552,0.44035268903718,0.440307508571307,0.407059220668752,0.436518287710683,0.43983791641937,0.42494752791004,0.413376970850144,0.419677343284946,0.433424649698559,0.409432435963556,0.448423392001108,0.455583712879901,0.431079654845908,0.43889772937818,0.410186681184696,0.417735342281985,0.417622614316822,0.409130514123037,0.410499398996961,0.40796054939425,0.407644081637661,0.416038238018212,0.409853820364341,0.428512733941543,0.406163245446107,0.406946968206484,0.395204957884211,0.407641847161458,0.397831258204011,0.440726927199168,0.406419446603892,0.452941970188205,0.408717035751808,0.404206564904063,0.44600847257022,0.429723840090864,0.430611970682746,0.405293252830438,0.40788218815272,0.456939240796463,0.397475759374537,0.421486107291242,0.403688520812981,0.455578137851454,0.462523365412043,0.432154627055,0.470074110547225,0.459616794658375,0.412886453968247
nominal,0.519854413716879,0.57433678021973,0.520798513072144,0.496115345137823,0.575446716838067,0.582030493464851,0.508156011698175,0.513598819073346,0.502831230281073,0.573831258219681,0.519826713574282,0.536499375024815,0.53110922702545,0.570699408195065,0.587542771895998,0.498534957753774,0.520120811277229,0.51560554772267,0.519604986196695,0.494609471231593,0.497937823309991,0.51038519499717,0.506124461389311,0.514896710773903,0.560296109248836,0.515565669010767,0.508759870213229,0.530005726197226,0.506383504655731,0.504935026728579,0.526417091415213,0.514850236150491,0.527274798021386,0.510090779998965,0.528899783958799,0.518518415268469,0.511288361432027,0.572005702061045,0.493679503126951,0.494830136939271,0.550382886981242,0.506658801672063,0.509407236453725,0.513964487115726,0.512246625550048,0.535602396326037,0.578139184536454,0.524606012658029,0.507605845576131,0.509461901563075
nominal,0.429382635271936,0.473378618525029,0.477333298522776,0.413545860731349,0.46028920754912,0.452713429496419,0.423454902037309,0.434288268809859,0.416792806194952,0.459392855248677,0.435458841486154,0.456835934035508,0.462323329856782,0.452672624830162,0.462643751096552,0.424939708246987,0.416600248481011,0.429360777824534,0.413523422762058,0.436834867550719,0.426556839293122,0.413653585125066,0.419671331021453,0.436603855955802,0.458872080843307,0.429850241898336,0.411168572778546,0.420919801269334,0.432412794908918,0.43041017465559,0.457156111423545,0.422960038132821,0.464453990115482,0.423155301426752,0.41820192620968,0.461316155678984,0.457224572704589,0.453037663173824,0.415967998769515,0.425858412242668,0.480551170858309,0.431939042692095,0.427663033262177,0.428694973074363,0.464372108002249,0.466647775619566,0.472700838065765,0.473821392154141,0.471852656040562,0.432021155331139
nominal,0.445463675298662,0.468628562435912,0.4462263420322,0.439892358016748,0.461526340613975,0.451613788439791,0.469040806234929,0.457813262518491,0.460910776612967,0.458107301235094,0.456751588820524,0.442619634230669,0.447544575766504,0.453868838675183,0.461988441275257,0.461000870103935,0.450255988819314,0.44387983938979,0.440100442428589,0.455441086088026,0.453112577218733,0.459276129398018,0.458176696887278,0.469098613686085,0.45848888326763,0.446210116425789,0.445061375727988,0.432811484174531,0.456365129292529,0.453723911443265,0.435698748388637,0.437907383054727,0.453074201054264,0.441138399501033,0.435310418444388,0.437666753349813,0.430349648750715,0.452608869042934,0.4500762675601,0.460360311521189,0.450858844969049,0.444349454322041,0.447906986468142,0.4494643548292,0.45217049564908,0.453979997545263,0.473218506948721,0.455211446682022,0.446428606898131,0.448650222830113
nominal,0.427913607548929,0.44899285692938,0.483744578983927,0.423895037279843,0.440138786252906,0.43883783096598,0.428899214352331,0.426231048303778,0.429815115949913,0.433625952179038,0.428409980047701,0.470590969244543,0.477924035431866,0.458156331127162,0.447158738929194,0.413325296743145,0.418011445760895,0.424058421255839,0.41957204231074,0.422443578766221,0.423391900828769,0.435824146446778,0.410425097768068,0.42274088368247,0.435517702196266,0.431189427067782,0.42583808811723,0.416928322561078,0.418891788392622,0.402323791162143,0.487722563776782,0.429228292089035,0.475801615291378,0.423617169692275,0.41749243492454,0.479756896649125,0.464205160155235,0.436852110471473,0.417067177029764,0.429134644741366,0.478252707016128,0.426342161528725,0.425310636658046,0.424022926350143,0.479504749232623,0.47932627184468,0.448273997565748,0.481097175558281,0.477078760092575,0.427903789047866
nominal,0.435090276382472,0.455216083174941,0.472746119962378,0.44746750084772,0.457050279588106,0.451520006225932,0.45514230356964,0.454279223652372,0.436129163256643,0.447664709670546,0.431370103295156,0.48324958549812,0.48341198043612,0.451680120333957,0.463098049401076,0.460402681557865,0.455669614002359,0.435727462506334,0.443645651123667,0.44946504156658,0.437164439407421,0.443668994763705,0.443761012970469,0.431394007865902,0.456000418677505,0.42445753038444,0.442164124228915,0.452144005916732,0.436345181220377,0.449379582664648,0.487494593278723,0.43770839626931,0.475011508693051,0.431905054676575,0.436180499373936,0.494386572407493,0.477896839182294,0.451360693828375,0.446041019795822,0.445007504287835,0.470356245067939,0.431508960671065,0.445899695289092,0.437023074483339,0.477780923928399,0.486444417914346,0.461157765043734,0.473627375637139,0.473945783889559,0.436328916425442
anomaly,0.525933540684029,0.450845637784372,0.55659003955077,0.543353557235708,0.4669959242178,0.463910299992378,0.538130556655067,0.525159740279645,0.504579415167276,0.45120817826386,0.517169608464955,0.541184265882446,0.554552814378287,0.464916419298011,0.454592000045417,0.513382285447706,0.525021728653252,0.516909412998704,0.534618347140145,0.526144177140117,0.523717541370255,0.527625432013009,0.51609851628223,0.52314277151182,0.442122387518778,0.54775692398025,0.50374528674426,0.526157687435511,0.526828108972416,0.518627713833508,0.545747403941622,0.520060379449795,0.556459409345493,0.522225258508736,0.536769481690209,0.535723990456907,0.537643376959786,0.457264857036286,0.51467190065747,0.523604591066205,0.572030404161096,0.534180046229242,0.533613930975645,0.525467464200499,0.542194684602684,0.551889944728389,0.44688474853423,0.566980543808861,0.547609692690991,0.546720488182234
nominal,0.436715992646541,0.450778451180047,0.438748946739035,0.443251821613754,0.45588258148588,0.438925921420733,0.432749903649552,0.439002637013562,0.452174553848381,0.455033203466603,0.435271283009931,0.44804553749959,0.450316272026111,0.436360721232189,0.453384499477064,0.446579061347059,0.441968220835409,0.436499393018199,0.429953935563792,0.425761635653275,0.431333724196122,0.435592381522804,0.44803743461627,0.442269287362839,0.429151994546324,0.416527062516879,0.431589080508697,0.415129579338418,0.44225187467069,0.420734229790221,0.437728364193694,0.423031846631247,0.454936823942863,0.42069127504567,0.434144785818925,0.442920245366718,0.428703349836411,0.443452059343708,0.43816670894943,0.439388430383974,0.447518930317595,0.428780077825123,0.45012033807552,0.423594732857075,0.452963850766908,0.457819131296072,0.444632174683877,0.468393617409316,0.458705152828365,0.430752762012642
anomaly,0.587030247823743,0.476719275670231,0.61468790177073,0.591401200904053,0.473796943991088,0.477761387222576,0.582190314488786,0.58413449004607,0.574886447686614,0.475538678208027,0.574992536589517,0.61687699272142,0.622754269519063,0.486509573186744,0.483313887334277,0.569342566817606,0.580873972799475,0.573547809291467,0.577462072489144,0.587930211129103,0.585456590879833,0.587198729224927,0.582826902884,0.587285226457102,0.484277127522252,0.597132900751532,0.574263261003314,0.577552078558555,0.567196990264119,0.573766193574961,0.624330346364444,0.573854823205088,0.624317011206128,0.586873515597275,0.579190522046953,0.61114214588527,0.614041650076873,0.491321811623567,0.582966584627311,0.584367277849304,0.611862334375516,0.582224134421693,0.582851185364983,0.589539680027161,0.616267264394432,0.609797081161527,0.490679320942722,0.626969841029952,0.624813720350103,0.584013156031185
nominal,0.44177712538769,0.463277122089836,0.494473609408935,0.463263308094724,0.479791453539064,0.46746146822263,0.464324354796085,0.471024092688604,0.464746892575879,0.462631875823969,0.434887750799612,0.499048455148599,0.503912483100177,0.476768386983073,0.471743838387561,0.483140547218611,0.469114973328852,0.454246938405721,0.464477400080447,0.456547049085009,0.455624462771592,0.458328823014905,0.460044724349706,0.446791774389944,0.445896729773495,0.442553526217897,0.453339016135555,0.471460137207566,0.450809256307391,0.456329135398,0.493872992141667,0.463007974834964,0.500765131140558,0.442316648681296,0.467490841152978,0.500726432507074,0.491729907496529,0.471904352028622,0.444112029693882,0.471480355224402,0.492905320233216,0.442866231347278,0.484513842526069,0.444230074175205,0.486225689433056,0.495095079318727,0.459351415367539,0.495576173883023,0.483827008754586,0.455000123228935
