label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
nominal,0,1,0,0,0,0,0,0.085106,0.042482,0.251116,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.106383,0.041161,0.207528,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.127660,0.041161,0.171824,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.148936,0.041161,0.152782,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.170213,0.041161,0.134930,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.191489,0.041161,0.140583,0.003467,0.422915,0.414912
anomaly,0,1,0,0,0,0,0,0.255319,0.051489,0.298721,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.276596,0.042482,0.390360,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.297872,0.040861,0.402261,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.319149,0.040711,0.462214,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.340426,0.040861,0.488248,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.361702,0.040711,0.493306,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.382979,0.041041,0.532580,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.404255,0.041161,0.546415,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.553191,0.042482,0.499554,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.617021,0.042482,0.477090,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.638298,0.040861,0.466825,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.659574,0.041161,0.478132,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.680851,0.041161,0.484975,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.702128,0.041161,0.503124,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.723404,0.042482,0.552960,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.765957,0.041041,0.587623,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.787234,0.040711,0.546861,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.808511,0.040711,0.497025,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.829787,0.040861,0.470693,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.851064,0.041041,0.446296,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.872340,0.042482,0.412229,0.003467,0.422915,0.414912
nominal,0,1,0,0,0,0,0,0.893617,0.041161,0.368789,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.063830,0.044374,0.316721,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.085106,0.041041,0.257959,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.106383,0.041161,0.214073,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.127660,0.041161,0.178816,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.148936,0.040951,0.151889,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.170213,0.041011,0.138500,0.003467,0.422915,0.414912
nominal,0,0,1,0,0,0,0,0.191489,0.041041,0.142071,0.003467,0.422915,0.414912
